"person_id","study_id","language","gender","age","education","hg_1","hg_3","hg_4","hg_7","hg_10","hg_13","pp_1","pp_6","pp_8","pp_11","pp_12","pp_14","pp_15","pp_17","mc_1","mc_2","mc_3","mc_7","mc_15","mc_18","mc_20","mc_23","hg","pp","mc","cr","cp","cc"
"01_168","01","DE","f",50,7,4,5,5,6,5,5,2,1,1,3,5,4,3,3,5,5,3,3,3,4,5,4,5,3,4.2,NA,NA,NA
"01_170","01","DE","f",52,4,6,5,4,6,6,5,3,3,4,6,4,4,4,4,5,6,3,5,6,4,3,5,5.6,3.8,4,NA,NA,NA
"01_173","01","DE","m",56,4,5,4,5,6,4,5,4,4,3,5,3,3,4,4,4,4,5,4,4,4,3,4,4.8,3.4,4,NA,NA,NA
"01_169","01","DE","f",32,3,5,4,3,5,2,5,3,5,1,5,4,3,1,5,3,4,4,2,3,3,4,5,4.2,2.4,3.8,NA,NA,NA
"01_177","01","DE","m",46,6,3,4,5,4,4,5,3,4,1,5,5,1,4,4,5,4,5,4,4,1,5,4,4,2.8,4,NA,NA,NA
"01_176","01","DE","m",37,4,6,4,3,3,3,3,4,4,4,4,4,2,3,4,5,3,4,3,4,3,6,4,3.8,3.4,4.4,NA,NA,NA
"01_179","01","DE","m",66,6,4,4,3,4,4,4,4,3,4,4,3,3,4,4,4,3,3,6,4,4,4,4,4,3.6,3.8,NA,NA,NA
"01_180","01","DE","m",61,6,5,3,2,4,3,4,5,4,4,4,3,4,2,4,5,4,5,6,4,4,5,4,3.8,3.6,4.6,NA,NA,NA
"01_182","01","DE","m",52,6,6,5,3,5,5,6,4,5,1,2,2,4,5,3,5,5,6,5,6,5,5,5,5.4,3.2,5.2,NA,NA,NA
"01_183","01","DE","f",49,4,4,4,4,4,4,4,4,4,3,5,4,4,3,3,4,3,4,4,4,4,4,4,4,3.6,4,NA,NA,NA
"01_186","01","DE","m",53,5,4,3,2,3,3,3,4,3,4,3,4,4,4,3,4,3,4,4,3,4,3,4,3.2,4,3.8,NA,NA,NA
"01_187","01","DE","f",46,5,4,1,1,3,1,1,2,4,3,4,5,2,1,4,3,4,4,6,6,4,4,5,2,2.6,4,NA,NA,NA
"01_188","01","DE","m",41,4,6,4,5,3,4,4,4,3,3,3,2,1,3,3,2,3,1,3,5,3,3,4,4.2,2.6,2.6,NA,NA,NA
